,charge.t1,charge.t2,charge.t3,charge.t4,charge.t5,charge.t6,charge.t7,charge.t8,charge.rate1,charge.rate2,charge.rate3,charge.rate4,charge.ramp1,charge.ramp2,charge.ramp3,charge.ramp4,charge.ramp5,charge.ramp6,charge.ramp7,charge.ramp8,charge.T0,charge.T1,charge.T2,charge.T3,charge.T4,charge.T5,charge.T6,charge.T7,charge.T_target,charge.iSOC,aging.an_len_expansion,aging.ca_len_expansion,aging.an_void_eps,aging.ca_void_eps,aging.an_i0_factor,aging.ca_i0_factor,aging.el_kappa_factor,aging.an_LiLoss,aging.an_LAM,aging.ca_LAM,aging.SOH
0,80.5423729,128.7457627,153.3773417,170.4299732,231.8782491,261.6713525,409.2713525,571.2713525,5.9,3.8,5.8,3.0,0.175,0.1755171,0.0333333,0.0436439,0.1133333,0.113026,0.0166667,0.0065278,288.15,302.2449153,310.7054357,311.5264883,312.2707319,319.2348698,322.6022643,325.0622643,329.9314564,0.29,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1,40.2352941,60.0,130.8923077,142.5230769,163.7958042,207.9776224,323.4776224,518.4776224,5.1,6.5,4.4,2.4,0.0566667,0.051378,0.0102394,-0.0010967,0.0966667,0.0832601,0.0066667,0.0067859,301.15,303.43,304.4454715,305.1713653,305.1586103,307.214974,310.8935563,311.6635563,313.5319133,0.43,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
2,72.0,213.1578947,270.6315789,316.1052632,459.3052632,496.1052632,579.5598086,600.8325359,3.8,5.7,4.5,4.4,0.0183333,0.0147729,0.0416667,0.0612154,0.0266667,-0.0011157,-8.67e-05,-0.0109913,314.15,315.47,317.555306,319.9500429,322.7337309,326.5523975,326.511338,326.5041044,324.8829504,0.21,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
3,66.4,122.4,147.7333333,220.4,307.5578947,389.0315789,431.6982456,539.6982456,4.5,5.4,5.7,2.7,0.0266667,0.028033,0.1016667,0.107556,0.105,0.0009368,0.01,0.0091386,305.15,306.9206667,308.4905165,311.066072,318.8818081,328.033387,328.1097108,328.5363774,329.0023538,0.27,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
4,20.0769231,147.4615385,262.7835724,336.6140808,414.8209774,476.2692532,507.1263961,669.1263961,5.2,5.9,5.8,2.8,0.1116667,0.1087342,-0.003065,-0.0059163,-0.0102115,0.0018738,-0.0058872,-0.0028017,313.15,315.3919231,329.2429817,328.8895171,328.4527157,327.6541053,327.7692467,327.5875831,326.0249618,0.05,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
5,75.1578947,157.2631579,183.2631579,219.2631579,320.1917293,342.0488722,444.7547545,520.9900487,5.7,5.4,5.6,3.4,0.0466667,0.0520918,0.0533333,0.0630542,0.04,0.0523795,0.015,0.0221657,300.15,303.6573684,307.9343812,309.3210479,311.5909985,315.6281413,316.7730068,318.3135951,328.0634086,0.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
6,115.2,347.6571429,392.4571429,398.0571429,427.1340659,504.6725275,690.4325275,840.1925275,3.5,4.5,5.2,2.5,0.04,0.041782,-0.0032861,-0.0076682,-0.010119,-0.0046156,-0.0002449,-0.0016092,317.15,321.758,331.4705183,331.3233005,331.2803583,330.9861289,330.6282411,330.5827521,326.9805125,0.16,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
7,112.0,158.0,221.9402985,242.358209,363.6915423,542.358209,600.6439232,763.5010661,3.6,6.7,2.7,2.1,0.0366667,0.0312994,0.0583333,-0.0119204,-0.0003536,-9.51e-05,0.005,0.0062635,318.15,322.2566667,323.6964394,327.4262901,327.1829006,327.1399935,327.1229939,327.4144225,326.1259811,0.28,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
8,56.7,140.4,202.4425532,287.4638298,351.6377428,415.8116559,449.754513,507.354513,4.0,4.7,4.6,3.5,0.0583333,0.0604917,0.0283333,0.0295347,0.075,0.0787656,0.0166667,0.0201681,295.15,298.4575,303.5206552,305.2785275,307.7896037,312.6026472,317.6573442,318.2230585,329.5708818,0.35,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
9,45.0,108.9,183.8189189,271.3864865,346.1557173,376.6172557,428.6172557,491.2839224,4.0,3.7,2.6,2.7,0.03,0.0298886,0.0266667,0.034199,0.0133333,0.0111042,0.01,0.0116762,316.15,317.5,319.4098821,321.40772,324.4024474,325.3993704,325.7376228,326.2576228,329.0402973,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
10,50.5384615,74.7692308,78.7692308,130.1978022,153.4919198,201.4919198,282.4919198,365.4919198,5.2,6.3,5.1,3.6,0.1216667,0.1313458,0.095,0.1026136,0.1016667,0.1077036,0.0616667,0.0656046,290.15,296.2988462,299.4814549,299.8614549,305.1387234,307.5069587,312.6767328,317.6717328,329.3505038,0.48,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
11,81.0,188.0,206.75,252.5,374.4354839,439.4677419,500.0131965,727.4677419,3.6,4.8,3.1,2.2,0.0383333,0.0404719,0.0783333,0.0756864,0.0283333,-0.0029899,0.0166667,-0.0002693,294.15,297.255,301.5854931,303.0542431,306.5168973,309.971736,309.7772947,310.7863856,309.4906993,0.34,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
